species,thousand_seed_weight_g,seeds_per_gram,seeds_per_oz,seeds_per_lb,material,collection_location
Corispermum intermedium Schweigg.,1.9440,514.4,14583,233329,achaenium,"Rostock, DE"
Corydalis pumila (Host) Rchb.,2.1400,467.3,13247,211959,seed,"Balatonalmádi, HU"
Cosmos bipinnatus Cav.,6.4770,154.4,4377,70031,achaenium,"Budapest, HU"
Cota austriaca (Jacq.) Sch. Bip.,0.2730,3663.0,103844,1661511,achaenium,"Pécsvárad, HU"
Cotinus coggygria Scop.,7.4000,135.1,3831,61296,drupa,"Pétfürdő, HU"
Crepis mollis (Jacq.) Asch.,2.0890,478.7,13571,217134,achaenium*,"Rostock, DE"
Crepis pulchra L.,0.6320,1582.3,44857,717709,achaenium,"Brussels, BE"
Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell.,0.2130,4694.8,133096,2129542,achaenium,"Keszthely, HU"
Cucumis melo L.,23.9490,41.8,1184,18940,seed,"Budapest, HU"
Cucumis sativus L.,17.9680,55.7,1578,25244,seed,"Kecskemét, HU"
Cucurbita maxima Duchesne,265.8330,3.8,107,1706,seed,"Tápiószele, HU"
Cucurbita pepo L.,149.8730,6.7,189,3027,seed,"Tápiószele, HU"
Cyanus mollis (Waldst. & Kit.) J. Presl & C. Presl,14.1350,70.7,2006,32090,achaenium*,"Rostock, DE"
Datura innoxia Mill.,6.7940,147.2,4173,66764,seed,"Vácrátót, HU"
Dianthus barbatus L.,0.7650,1307.2,37058,592931,seed,"Budapest, HU"
Dianthus plumarius L.,1.4900,671.1,19027,304424,seed,"Oulu, FI"
Digitalis purpurea L.,0.0840,11904.8,337494,5399909,seed,"Camargue, FR"
Diplachne fascicularis (Lam.) P. Beauv.,0.4130,2421.3,68643,1098287,caryopsis,"Cegléd, HU"
Doronicum austriacum Jacq.,1.2700,787.4,22322,357159,achaenium,"Marburg, DE"
Dracocephalum ruyschiana L.,2.9280,341.5,9682,154915,carcerulus,"Marburg, DE"
Dysphania ambrosioides (L.) Mosyakin & Clemants,0.2440,4098.4,116186,1858985,seed*,"Vácrátót, HU"
Dysphania botrys (L.) Mosyakin & Clemants,0.1570,6369.4,180570,2889123,seed,"Vácrátót, HU"
Dysphania pumilio (R. Br.) Mosyakin & Clemants,0.0060,166666.7,4724917,75598728,seed,"Budapest, HU"
Dysphania schraderiana (Schult.) Mosyakin & Clemants,0.2250,4444.4,125998,2015966,seed,"Marburg, DE"
Ecballium elaterium (L.) A. Rich.,12.1630,82.2,2331,37293,seed,"Kaszaper, HU"
Echium plantagineum L.,2.2800,438.6,12434,198944,carcerulus,"Budapest, HU"
Eclipta prostrata (L.) L.,0.2500,4000.0,113398,1814369,achaenium,"Szeged, HU"
Epilobium ciliatum Raf.,0.0400,25000.0,708738,11339809,seed,"Oulu, FI"
Epilobium hirsutum L.,0.0900,11111.1,314994,5039915,seed,"Kisújszállás, HU"
Epilobium obscurum Schreb.,0.0610,16393.4,464746,7435940,seed,"Caen, FR"
Erigeron sumatrensis Retz.,0.0130,76923.1,2180731,34891721,achaenium,"Debrecen, HU"
Eruca vesicaria (L.) Cav.,1.4210,703.7,19950,319206,seed,"Budapest, HU"
Erysimum cheiranthoides L.,0.2030,4926.1,139653,2234445,seed,"Veseli nad Moravou, CZ (Gh)"
Erysimum crepidifolium Rchb.,0.7160,1396.6,39594,633509,seed,"Vácrátót, HU"
Erythronium dens-canis L.,5.7700,173.3,4913,78612,seed,"Csöde, HU"
Eschscholzia californica Cham.,1.7510,571.1,16190,259048,seed,"Caen, FR"
Euphorbia lathyris L.,43.0270,23.2,659,10542,seed,"Debrecen, HU"
Euphorbia prostrata Aiton,0.1370,7299.3,206931,3310893,seed,"Bonyhád, HU"
