species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Astragalus tragacantha,orthodox,,,,"10% germination after 86 years in herbarium (Becquerel, 1934)"
Astragalus trichopodus,orthodox,,,,"3% germination following 18 years open storage at room temperature (Ewart, 1908)"
Astragalus utriger,orthodox,,,,"6% germination after 82 years storage in paper bags at room temperature (Crocker, 1938)"
Astragalus wootonii,orthodox,,,,"long-term storage under IPGRl preferred conditions at REG Kew, WP. Oldest collection 1 year"
Astrantia major,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP; germination change 72 to 55%, 18 years, 1 collection"
Atropa belladonna,orthodox,,,,"germination increases from 12% before storage to 91 % after 12 months hermetic air-dry storage at 5�C (Grime et al., 1981); long-term storage under IPGRI prefer"
Attalea crassispatha,intermediate,,,,"57% survived desiccation to 13.7% me but none survived further desiccation to 4.9% me (Dickie et aL, 1992)"
Averrhoa bilimbi,intermediate,yes,,,"viability maintained for 6 months with partially dried seeds at 5�C (Riley, 1981)"
Azanza garckeana,orthodox,yes,,,"(Tietema et al., 1992); dry seeds store well in cool places (c. Marunda, pers. com.)"
Baeckea behrii,orthodox,,,1.8,"seeds survive 14 days in liquid nitrogen (Touchell & Dixon, 1993)"
Ballota hirsuta,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, v\'P. Oldest collection 3 years"
Banksia aemula,orthodox,yes,,,"hermetic air-dry storage (Langkamp & Plaisted, 1987)"
Banksia attenuata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia candolleana,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia chamaephyton,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia cuneata,orthodox,,,20.3,"24% initial germination with seeds at 8.7% me, 4-8% germination after 14 days subsequent storage in liquid nitrogen (Touchell & Dixon, 1993)"
Banksia dentata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia ericifolia,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia grandis,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia grossa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia hookerana,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia integrifolia,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia latana,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia litoralis,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia marginata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia menziesii,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia micrantha,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia oblongifolia,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia occidentalis,orthodox,,,9.5,"no loss in viability (55% initial germination) after 14 days storage in liquid nitrogen (treated with 15% DMSO) with 10% me (Touchell & Dixon, 1993)"
Banksia prostrata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia serrata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia shaerocarpa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Banksia spinulosa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Baphia laurifolia,orthodox,,,,"long-term storage at UTA Genebank (Ng et al., 1993)"
Baphia leptostemma,orthodox,,,,"long-term storage at UTA Genebank (Ng et al., 1993)"
Baphia massaiensis,orthodox,,,,"long-term storage under IPGRl preferred conditions at REG Kew, WP. Oldest collection 2 years"
Baphia nitida,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Baphia pubescens,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Baptisia alba,orthodox,,,,"a few seeds germinate after 61 years storage in paper bags at room temperature (Crocker, 1938)"
Baptisia australis,orthodox,,yes,,"seeds can be maintained for 3-4 years in commercial storage conditions (Priestley, 1986)"
Baptisia commutata,orthodox,,,,"a few seeds germinate after 43 years storage at room temperature (Harrington, 1972)"
Baptisia leucantha,orthodox,,,,"seeds (me not reported) survive overnight in liquid nitrogen (Pence, 1991a)"
Baptisia tinctoria,orthodox,,yes,,"seeds can be maintained for 3-4 years in commercial storage conditions (Priestley, 1986)"
Barklya syringifolia,orthodox,,yes,,"50% germination following 3 years open storage at room temperature (Ewart, 1908)"
Barringtonia racemosa,recalcitrant,,,,"(Farrant et al., ] 988)"
Bartsia trixago,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 19 years; germination change 86 to 82%,18 years, 1 collection"
Bauhinia candicans,orthodox,,yes,,"seeds are maintained at FSB, Argentina (Abraham de Noir, 1991)"
Bauhinia malabarica,orthodox,,yes,,"no loss in viability in open storage for at least 1 year (Dent, 1948); viability maintained for more than 3 years in hermetic storage at room temperature with 1"
Bauhinia monandra,orthodox,,,,"long-term storage at !ITA Genebank (Ng et aL, 1993)"
Bauhinia purpurea,orthodox,yes,,235,"no loss in viability in open storage for at least 1 year (Dent, 1948; Campbell, 1980)"
Bauhinia racemosa,orthodox,,yes,,"viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% mc (Kaul, 1979)"
Bauhinia reticulata,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Bauhinia rufescens,orthodox,,,,"no loss in viability during 1 year in hermetic storage at 4Q C (Some et aL, 1990); long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest col"
Bauhinia tomentosa,orthodox,,,,"long-term storage at !ITA Genebank (Ng et aL, 1993)"
Bauhinia variegata,orthodox,,,278,"(Khare et aI., 1989); no loss in viability in hermetic storage at room temperature for at least I year (Dent, 1948); for at least 2 years (Campbell, 1980); viab"
Beaufortia incana,orthodox,,,,"63% initial germination, 14% to 100% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 1993)"
Beilschmiedia erythrophloia,recalcitrant,,,,"(Lin & Huang, 1994); P,,, = 120 days when stored first at 25�C with 80-91 % r.h. for 2 weeks, then at 4�C with 88.5% r.h. (Lin & Huang, 1994). Comment: This spe"
Belamcanda chinensis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 21 years; germination change 100 to 90%,14 years, 1 collection"
Belotia campbellii,orthodox,yes,,,"air-dry storage is required to remove dormancy (VasquezYanes, 1981)"
Bergenia crassifolia,orthodox,yes,,,"viability is halved after 2-3 years storage under laboratory conditions (Priestley, 1986)"
Berlinia auriculata,orthodox,,,,"long-term storage at UTA Genebank (Ng et aI., 1993)"
Berlinia grandijlora,orthodox,,,,"long-term storage at UTA Genebank (Ng et a!., 1993)"
Berula erecta,orthodox,yes,,,"no loss in viability after 12 months hermetic air-dry storage at SoC (Grime et aL, 1981)"
Billardiera cymosa,orthodox,yes,,,"viability maintained for >2 years in hermetic air-dry storage at SoC (Riley, 1981)"
Billardiera scandens,orthodox,yes,,,"viability maintained for >2 years in hermetic air-dry storage at SoC (Riley, 1981)"
Bismarckia nobilis,recalcitrant,yes,,,"Leon (1961) classified this genus in the short-lived seed class Comment: Based on natural habitat, this species may not show recalcitrant seed storage behaviour"
Bituminaria bituminosa,orthodox,,,,"increase in germination following 24 hours' immersion in liquid nitrogen for seeds at 7% and 5% me (Gonzalez-Benito et a!., 1994)"
Blephilia ciliata,orthodox,,,,"dry seeds (me not reported) survive overnight 111 liquid nitrogen (Pence, 1991a)"
Blighia unijugata,orthodox,,,,"seeds are maintained at IITA Genebank (Ng et aL, 1993)"
Boisduvalia subulata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 100 to 100%, 14 years, 1 collection"
Boronia serrulata,orthodox,yes,,,"hermetic air-dry storage recommended (Lamont, 1985)"
Bossiaea ensata,orthodox,,,,"23% germination following 10 years open storage at room temperature (Ewart, 1908)"
Bossiaea heterophylla,orthodox,,,,": 50% germination following 15 years open storage at room temperature (Ewart, 1908)"
Bossiaea ornata,orthodox,,,2.5,"36% initial germination with seeds at 7.3% me, 12% to 56% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touehell & Dixon, 1993"
Bossiaea stephensoni,orthodox,,,,": 44% germination following 12 years open storage at room temperature (Ewart, 1908)"
Brachychiton populneus,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Brachysema aphyllum,orthodox,,,2.7,"0% initial germination with seeds at 8.4% me, 8% to 32% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touehell & Dixon, 1993)"
Brachystegia kennedyi,orthodox,,,,"long-term storage at UTA Genebank (Ng et aI., 1993)"
Brachystegia luricoma,orthodox,,,,"long-term storage at UTA Genebank (Ng et a!., 1993)"
Brassocattleya hybrid,orthodox,,,,"2-80% germination after 8-10 years storage over calcium chloride at 8�C (Knudson, 1940; cited by Pritchard & Seaton, 1993); 10% germination after 21-22 years st"
Brassolaeliocattleya hybrid,orthodox,yes,,,"58% and 69% germinate after 511 days storage in a desiccator at room temperature and O�C, respectively, while no seeds survive after 91 days in open storage at "
Broussonetia papyrifera,recalcitrant,yes,,0.2,"short-lived (Mensa & Acosta, 1990) Comment: Based on seed size, this species may show orthodox seed storage behaviour."
Browallia albiflora,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Browallia speciosa,orthodox,,yes,,"seeds maintained for 2-3 years in commercial storage conditions (Priestley, 1986)"
Browallia viscosa,orthodox,,,,"no loss in viability following 14 years storage at 40% r.h. and 4�C (Bass, 1980)"
Bruguiera cylindrica,recalcitrant,,,,"(Anon., 1993)"
Bruguiera gymnorrhiza,recalcitrant,,,,"(Farrant et ai, 1988; Anon., 1993); viviparity, i.e., the seeds germinate while still attached to the tree (Harrington, 1972; Lemmens & Wulijarni-Soeljipto, 199"
Bruguiera parviflora,recalcitrant,,,,"(Anon., 1993)"
Bruguiera sexangula,recalcitrant,,,,"(Anon., 1993)"
Buchnera americana,orthodox,,,,"seeds survive overnight in liquid nitrogen (Pence, 1991a)"
Bupleurum baldense,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Bupleurum candollei,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Bupleurum rotundifolium,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP; germination change 100 to 70%, 10 years, 1 collection"
Burkea africana,orthodox,,,125,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Burtonia scabra,orthodox,,,7.7,"32% initial germination with seeds at 8.5% me, 36% to 60% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 1993"
Butea frondosa,orthodox,yes,,670,"no loss in viability during 2 years hermetic storage at room temperature (Dent, 1948)"
Butia capitata,orthodox,yes,,,"seeds are viable (by tetrazolium test) after 5 months dry storage at room temperature (Sento, 1976); air-dry storage at 5�C recommended (Carpenter, 1988)"
Butyrospermum paradoxum,recalcitrant,,,,"(Ng et al., 1993); viability lost within 1 month (Kamra, 1990)"
Caesalpinia bonduc,orthodox,,,,"20% germination following 15 years open storage at room temperature (Ewart, 1908)"
Caesalpinia coriaria,orthodox,,yes,,seeds are maintained at ESNACIFOR
Caesalpinia digyna,orthodox,,,,"a few seeds germinate after 41 years storage in sealed bottle at room temperature (Dent, 1948); viability maintained for more than 3 years in hermetic storage a"
Caesalpinia eriostachys,orthodox,,yes,,seeds are maintained at ESNACIFOR
Caesalpinia paraguariensis,orthodox,,,,"seeds are maintained at FSB, Argentina (Abraham de Noir, 1991)"
Caesalpinia peltophoroides,orthodox,yes,,,"little loss in viability following 240 days storage at 8.5% mc and 3�C (Figliolia, 1988)"
Caesalpinia pulcherrima,orthodox,,yes,,"seeds survive after 7 years storage at room temperature (Dent, 1942, 1948)"
Caesalpinia spinosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kcw, WP. Oldest collection 1 year"
Caesalpinia velutina,orthodox,,yes,,seeds are maintained at BLSF Costa Rica.
Caiophora hibiscifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 10 years; germination change 99 to 89%, 8 years, 1 collection"
Caiophora lateritia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 100 to 96%,13 years, 1 collection"
Cajanus cajan,orthodox,,,70,"no problem for long-term storage under IPGRI preferred conditions (SSLR); long-term storage at ICRISAT (Hanson et aL, 1984)"
Calamintha nepeta,orthodox,,yes,,"97% initial germination, 36% germination after 3 years open storage at room temperature (Marku, 1991)"
Calamintha sylvatica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Calamus manan,recalcitrant,,,,"MCS = 67% (Tamari, 1976), MCS = 48% (Achmad, 1988). Viability maintained for 6 months in moist storage at 20�C with 50% mc, storage temperatures of::;1 O�C are "
Calamus muelleri,recalcitrant,yes,,,"seeds must not be dried out and must be sown immediately (Fox et a!., 1987)"
Calamus scipionum,recalcitrant,yes,,,"MCS = 59.2% (Tamari, 1976)"
Calamus tenuis,recalcitrant,yes,,,"fruits must be sown immediately within 10 days of collection (Young and Young, 1992)"
Calandrinia grandijlora,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; average germination change 82.5 to 82.5%, mean storage period 12 "
Calandrinia hispida,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; germination change 86 to 90%, 15 years, 1 collection"
Calanthe discolor,intermediate,,,,"reduction in viability from 35% to 5% after 1 year hermetic air-dry storage at _15� to -17�C (Hasegawa et al., 1978; cited by Pritchard & Seaton, 1993)"
Calceolaria bijlora,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 93 to 94%, 12 years, 1 collection"
Calceolaria tripartita,orthodox,,yes,,"seeds maintained for 2-3 years in commercial storage conditions (Priestley, 1986)"
Calceolaria valdiviana,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 7 years"
Calico tome,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, \VP. Oldest collections 13 years; germination change 89 to 100%, 11 years, 1 collection"
Calicotome infesta,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collections IS years; germination change 100 to 100%, 14 years, 1 collection"
Calicotome villosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Calliandra calothyrsus,orthodox,,,,"viability can be maintained for several years in hermetic storage at 3�C with 6-10% mc (Albrecht, 1993); seeds are maintained at BLSF Costa Rica; long-term stor"
Callicarpa macrophylla,orthodox,yes,,,"seeds should be dried before storage (Campbell, 1980)"
Calligonum polygonoides,orthodox,yes,,,"(Bishnoi & Gautam, 1991)"
Callistemon lanceolatus,orthodox,,,0.25,"75% germination after 16 years air-dry storage (Ewart, 1908)"
Callistemon palludis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 18 years; germination change 75 to 100%, 18 years, 1 collection"
Callistemon phoeniceus,orthodox,,,0.024,"33% initial germination with seeds at 8.4% mc, 35 to 75% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 1993)"
Callistemon rigidus,orthodox,,,,"3% germination following 22 years in open storage at room temperature (Ewart, 1908)"
Callistemon viminalis,orthodox,yes,,1.18,"viability maintained for 12 months in open storage at room temperature (Campbell, 1980)"
Calopogonium mucunoides,orthodox,,,15,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collections 13 years; average germination change 90 to 100%, mean storage period 11 ye"
Calothamnus form,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Calothamnus quadrifidus,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Calothamnus tuberosus,orthodox,,,0.05,"16% initial germination with seeds at 8.6% me, 0% to 36% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 1993)"
Calpocalyx dinklaegei,orthodox,,,,"long-term storage at UTA Genebank (Ng et at., 1993)"
Calpurnia aurea,orthodox,,,27,"seeds are maintained in the long-term seed store at PGRC/Ethiopia (Zewdie, 1994)"
Caltha palustris,orthodox,,,,"seeds maintained for 4-5 years in commercial storage conditions (Priestley, 1986); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest col"
Calytrix strigosa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Calytrix superba,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Camellia japonica,intermediate,yes,,,"when dried, seeds require prolonged soaking in hot water (80�C) to promote germination, while fresh seeds germinate readily (Dirr & Heuser, 1987) Comment: The r"
Camellia lanceolata,recalcitrant,,,,"(Anon., 1993)"
Camissonia boothii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 100 to 100%, 13 years, 1 collection"
Camissonia californica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; average germination change 100 to 95%, mean storage period 13 yea"
Camissonia cheiranthifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 22 years; average germination change 100 to 93.4%, mean storage period 14 y"
Camissonia claviformis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 19 years; germination change 86 to 85%,12 years, 1 collection"
Camissonia contorta,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 81 to 100%, 13 years, 1 collection"
Camissonia hirtella,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 18 years; germination change 95 to 100%, 12 years, 1 collection"
Camissonia intermedia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 23 years; germination change 92 to 100%, 17 years, 1 collection"
Camissonia kernensis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 21 years; germination change 85 to 86.7%, 14 years, 1 collection"
Camissonia micrantha,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 100 to 92%, 13 years, 1 collection"
Canavalia ensiformis,orthodox,,,800,"100% germination following 10 years open storage at room temperature (Ewart, 1908); long-term storage at UTA Genebank (Ng et at., 1993)"
Canavalia rosea,orthodox,,,,"(Langkamp & Plaisted, 1987); 31 % germination following 60 years open storage at room temperature (Ewart, 1908)"
Capsicum annuum,orthodox,,,,"viability is halved after 4 years open storage (Ewart, 1908). Seeds maintained for 2-4 years in commercial storage conditions (Priestley, 1986). Average germina"
Capsicum frutescens,orthodox,,,,"69% germination following 28 years storage at room temperature (Harrington, 1972); initial germination 93% with seeds at 6.2% me, 93% germination after 180 days"
Caragana arborescens,orthodox,,,25,"26% germination following 15 years air-dry storage at 40% r.h and 4�C (Widrlechner, 1990); no loss in viability during 5 years hermetic storage at room temperat"
Carapa procera,recalcitrant,,,,"LSMC = 34%; LMC = 16% (Tompsett, 1994); LMC = 20% (Dr I.D. Kossmann Ferraz, pers. com.)"
Cariniana excelsa,intermediate,yes,,,"complete loss in viability during 1 year storage at room temperature with 45% r.h., whereas 48% survive I year storage at 4�_5�C (Barbosa et at., 1988b)"
Cariniana pyriformis,orthodox,yes,,130,"50% germination after 450 days hermetic storage at SoC, or 14�C with 8.7% mc vs. 77% germination before storage (Trivino et at., 1990)"
Carpolobia alba,orthodox,,,,"long-term storage at UTA genebank (Ng et ai., 1993)"
Carum carvi,orthodox,,yes,,"viability is halved following 3 years open storage (Ewart, 1908); pso '= 4.2 years for seeds stored under open storage in a temperate climate (Priestley, 1986)"
Carum petroselinum,orthodox,,yes,,"viability is halved following 3 years open storage (Ewart, 1908)"
Carya illinoensis,orthodox,,yes,,"MCS = 21.8% (Dimalla & Van Staden, 1978); seeds maintained for 4 years at 3�C with 5.1 % mc (Bonner, 1976); 30-50% germination following 6 months storage at 2�C"
Carya laciniosa,orthodox,,,,"(Betencourt & Konopka, 1989); 100% of excised embryonic axes survive desiccation (drying overnight under a stream of air, me not reported), and subsequent overn"
Carya ovata,orthodox,,yes,,"seeds maintained for 4 years at 3�C with 5.4% me (Bonner, 1976)"
Caryopteris incana,orthodox,yes,,,"hermetic air-dry storage recommended (Dirr & Heuser, 1987)"
Cassia abbreviata,orthodox,yes,,,"(Tietema et al., 1992)"
Cassia afrofistula,orthodox,,,,seeds are maintained in the long-term seed store at DFSC
Cassia carnaval,orthodox,,,,"25% germination following 10 years open storage at room temperature (Ewart, 1908) Cassia fasciculata (see Chamaecrista fasciculata) Cassia fistula L. golden sho"
Cassia grandis,orthodox,,,,"viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% mc (Kaul, 1979); seeds are maintained at BLSF Costa Rica, ESNACIFO"
Cassia javanica,orthodox,,yes,,"viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% mc (Kaul, 1979)"
Cassia pruinosa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Cassia renigera,orthodox,,yes,,"viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% me (Kaul, 1979)"
Cassia surattensis,orthodox,,,,"100% germination following 43 years open storage at room temperature (Harrington, 1972)"
Castanospermum australe,recalcitrant,,,,"MCS = 67.7%, LSMC = 65.5% (Grabe, 1989)"
Castilla elastica,recalcitrant,yes,,,"short-lived (Mensa & Acosta, 1990)"
Catasetum dilectum,intermediate,yes,,,"<20% germination after 2 months hermetic storage at -10�C (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Cattleya aurantiaca,intermediate,,,,"complete loss in viability after 1 year hermetic storage at 20�C with 2.2%, 3.7%, and 5.6% mc (Seaton, 19S5; cited by Pritchard & Seaton, 1993). No seeds surviv"
Cattleya gigas,orthodox,,,,"1% germination after 14 years storage over calcium chloride at SoC (Knudson, 1940; cited by Pritchard & Seaton, 1993)"
Cattleya hybrid,orthodox,,,,"SO% and 30% germination after Sand 20 years storage over calcium chloride at 8�C, respectively (Knudson, 1940, 1953; cited by Pritchard & Seaton, 1993)"
Cattleya loddigesii,intermediate,yes,,,"20-50% germination after 2 months hermetic storage at -10�C with pre-dried seeds (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Cattleya luteola,orthodox,,,,">75% germination after 7 months hermetic storage at _lOoe (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Cattleya mossiae,orthodox,,yes,,"6% germination after 8 years storage over calcium chloride at 8�C (Knudson, 1940; cited by Pritchard & Seaton, 1993)"
Cattleya schroederiana,orthodox,,,,"60% and 5% germination after 8 and 20 years storage over calcium chloride at 8�C, respectively (Knudson, 1940, 1953; cited by Pritchard & Seaton, 1993)"
Cattleya trianaei,orthodox,,yes,,"40% germination after 3 years storage at room temperature (Knudson, 1924; cited by Pritchard & Seaton, 1993)"
Caucalis daucoides,orthodox,,yes,,"6% germination after 3 years open storage (Hanelt, 1977)"
Ceanothus americanus,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Reed, 1974)"
Ceanothus arboreaus,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Reed, 1974)"
Ceanothus cordulatus,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Reed, 1974)"
Ceanothus crassifolius,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Reed, 1974)"
Ceanothus cuneatus,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Reed, 1974)"
Ceanothus diversifolius,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Reed, 1974)"
Ceanothus fenleri,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Reed, 1974)"
Ceanothus greggii,orthodox,yes,,,"hermetic air-dry storage at 5�C recommended (Reed, 1974)"
Ceanothus impressus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Ceanothus integerrimus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Ceanothus martinii,orthodox,,,,"36% germination following IS years open storage in a warehouse (Stevens et ai., 1981)"
Ceanothus oliganthus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Ceanothus prostratus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Ceanothus rigidus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Ceanothus sanguineus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Ceanothus sorediatus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Ceanothus thyrsiflorus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Ceanothus velutinus,orthodox,yes,,,"hermetic air-dry storage at SoC recommended (Reed, 1974)"
Cedrela angustifolia,orthodox,,,,"seeds tolerated desiccation to mc in equilibrium with 15% r.h. at 22�C, no loss in viability in subsequent storage at -20�C and liquid nitrogen (Cunha et al., 1"
Cedrela fissilis,orthodox,,,,"seeds tolerated desiccation to 7.8% mc, no loss in viability following 240 days subsequent storage at 3�C (Figliolia, 1988); little loss in viability after 600 "
Cedrela lilloi,orthodox,,yes,,"seeds are maintained at FSB, Argentina (Abraham de Nair, 1991)"
Cedrela mexicana,orthodox,yes,,32.1,"5% germination following 2 years hermetic air-dry storage at 3�_5�C (Marrero, 1943)"
Cedrela odorata,orthodox,,,4,"(Corbineau et ai., 1985; Tompsett, 1994); seeds survive 14 months' hermetic storage at 5�C (Lamprecht, 1956); viability maintained in hermetic storage at cool t"
Cedrelinga catenaeformis,orthodox,yes,,,"12% germination after 130 days open storage at 20�C for seeds extracted from yellow fruits, viability remains high in air-dry storage at 5�C (Maruyama & Yokoyam"
Cedronella canariensis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 19 years; average germination change 91 to 91.3%, mean storage period 13 ye"
Cedrus atlantica,orthodox,,yes,,"viability maintained for several years in hermetic storage with <10% mc (Zaki, 1970); viability maintained for 3-6 years in hermetic storage at _1�C to 3�C with"
Cedrus brevifolia,orthodox,,yes,,"viability maintained for 3-6 years in hermetic storage at -1�C to 3�C with 10% mc (Rudolf, 1974c)"
Cedrus deodara,orthodox,,yes,,"viability lost within 1 year in open storage (Campbell, 1980); viability maintained for 3--6 years in hermetic storage at _1�C to 3�C with 10% mc (Rudolf, 1974c"
Cedrus libani,orthodox,,yes,,"viability maintained for 3--6 years in hermetic storage at -1�C to 3�C with 10% mc (Rudolf, 1974c)"
Celtis australis,orthodox,,,100,4% germination (from initial germination of 20-25%)
Celtis caucasica,orthodox,,,,"24% germination following 28 years air-dry storage at 4�C with 40% r.h. (Widrlechner, 1990)"
Celtis laevigata,orthodox,yes,,75,"hermetic air-dry storage at 5�C recommended (Bonner, 1974b)"
Celtis occidentalis,orthodox,,,105,"no loss in viability following 5.5 years hermetic air-dry storage at lOoC (Bonner, 1974b); dry seeds (me not reported) survive overnight in liquid nitrogen (Pen"
Celtis reticulata,orthodox,yes,,92.4,"hermetic air-dry storage at 5�C recommended (Bonner, 1974b)"
Celtis sala,orthodox,,yes,,"seeds are maintained at FSB, Argentina (Abraham de Noir, 1991)"
Cenostigma gardnerianum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collections 11 years; germination change 85 to 90%,10 years, 1 collection"
Centrolobium paraense,orthodox,yes,,83,"(Trivino et aL, 1990)"
Centrosema pubescens,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collections 10 years; germination change 100 to 100%, 10 years, 1 collection"
