species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Acacia caffra,orthodox,yes,,,"(Tietema et ai., 1992)"
Acacia calami,orthodox,,,,"80% germination following 18 years open storage at room temperature (Ewart, 1908)"
Acacia caven,orthodox,,,,"seeds are maintained at FSB Argentina (Abraham de Noir, 1991); in the long-term seed store at DFSC; under IPGRI preferred conditions at RBG Kew, WP. Oldest coll"
Acacia concurrens,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia constricta,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Acacia cornigera,orthodox,,,,"a few seeds germinate following 36 years storage at room temperature (Ewart, 1908)"
Acacia crassicarpa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia cyanophylla,orthodox,,yes,,"viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% me (Dent, 1948; Kaul, 1979)"
Acacia cyclops,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia dealbata,orthodox,,,,"a few seeds survive 23 years in herbarium (Dent, 1942, 1948); viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% me ("
Acacia decora,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia decurrens,orthodox,,,12.5,"viability maintained for more than 2 years (Kandya, 1987), more than 3 years in hermetic storage at room temperature with 13�2% me (Kaul, 1979); 63% germination"
Acacia diffusa,orthodox,,,,"10% germination following 59 years open storage at room temperature (Ewart, 1908)"
Acacia dimidiata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia doratoxylon,orthodox,,,,"3% germination following 20 years open storage at room temperature (Ewart, 1908); viability maintained for 12 years with air-dried seeds stored at"
Acacia drummondii,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia dunnii,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia ehrenbergiana,orthodox,,,,"seeds are maintained in the long-term seed store at DFSC; longterm storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Acacia elata,orthodox,,,,"16% germination following 30 years open storage at room temperature (Ewart, 1908)"
Acacia elatior,orthodox,,,,seeds are maintained in the long-term seed store at DFSC
Acacia elongata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia erioloba,orthodox,,,290,"(Tietema et aL, 1992); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Acacia erubescens,orthodox,,,119,"(Tietema et aL, 1992); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Acacia etbaica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Acacia extensa,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia falcata,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia farnesiana,orthodox,,,,"a few seeds survive 31 years in herbarium (Dent, 1942, 1948); 10% germination following 15 years open storage at room temperature (Ewart, 1908); viability maint"
Acacia ferruginea,orthodox,yes,,,"viability maintained for 16 months in open storage at room temperature (Dent, 1948)"
Acacia flavescens,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Acacia fleckii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
