scientific_name,rank,common_names,has_seed_count,has_longevity,has_viability_constants,has_germination_conditions,dataset_count,datasets
Sorbus americana,species,mountain-ash,yes,,,,1,wpsm_woody_counts
Sorbus aucuparia,species,mountain-ash,yes,,,,1,wpsm_woody_counts
Sorbus decora,species,mountain-ash,yes,,,,1,wpsm_woody_counts
Sorbus domestica,species,,yes,,,,1,figshare_tsw_counts
Sorbus sitchensis,species,mountain-ash,yes,,,,1,wpsm_woody_counts
Sorghastrum nutans,species,"indiangrass, yellow; indiangrass, yellow - 'lometa",yes,,,,1,nrcs_conservation_counts
Sorghum bicolor,species,milo; sorghum; sudan grass; sudangrass,yes,yes,yes,,3,figshare_tsw_counts; johnnys_longevity; kew_viability_constants
Sorghum drummondii,species,,yes,,,,1,figshare_tsw_counts
Spinacia oleracea,species,spinach,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Sporobolus airoides,species,"sacaton, alkali; sacaton, alkali - 'saltalk'",yes,,,,1,nrcs_conservation_counts
Sporobolus asper,species,"dropseed, meadow tall; dropseed, tall",yes,,,,1,nrcs_conservation_counts
Sporobolus contractus,species,"dropseed, spike",yes,,,,1,nrcs_conservation_counts
Sporobolus cryptandrus,species,"dropseed, sand",yes,,,,2,figshare_tsw_counts; nrcs_conservation_counts
Sporobolus flexuosus,species,"dropseed, mesa",yes,,,,1,nrcs_conservation_counts
Sporobolus giganteus,species,"dropseed, giant",yes,,,,1,nrcs_conservation_counts
Sporobolus wrightii,species,sacaton,yes,,,,1,nrcs_conservation_counts
Squash,genus,squash,yes,yes,,yes,2,unl_g2090_counts; unl_g2090_germination
Staphylea pinnata,species,,yes,,,,1,figshare_tsw_counts
Statice,genus,statice,,yes,,,1,johnnys_longevity
Stellaria alsine,species,,yes,,,,1,figshare_tsw_counts
Stellaria neglecta,species,,yes,,,,1,figshare_tsw_counts
Stellaria nemorum,species,,yes,,,,1,figshare_tsw_counts
Sternbergia colchiciflora,species,,yes,,,,1,figshare_tsw_counts
Stipa comata,species,"needlegrass, needleandthread",yes,,,,1,nrcs_conservation_counts
Stipa leucotricha,species,"needlegrass, texas",yes,,,,1,nrcs_conservation_counts
Stipa viridula,species,"needlegrass, green",yes,,,,1,nrcs_conservation_counts
Stock,genus,stock,,yes,,,1,johnnys_longevity
Strawflower,genus,strawflower,,yes,,,1,johnnys_longevity
Strophostyles helvola,species,"wildbean, trailing",yes,,,,1,nrcs_conservation_counts
Styphnolobium japonicum,species,,yes,,,,1,figshare_tsw_counts
Styrax americanus,species,snowbell,yes,,,,1,wpsm_woody_counts
Styrax japonicus,species,snowbell,yes,,,,1,wpsm_woody_counts
Styrax obassia,species,snowbell,yes,,,,1,wpsm_woody_counts
Sunflowers,genus,sunflowers,,yes,,,1,johnnys_longevity
Swietenia humilis,species,mahogany,yes,,yes,,2,dickie_ellis_constants_with_se; wpsm_woody_counts
Swietenia macrophylla,species,mahogany,yes,,,,1,wpsm_woody_counts
Swietinia humilis,species,,,,yes,,1,kew_viability_constants
Symphoricarpos orbiculatus,species,snowberry,yes,,,,1,wpsm_woody_counts
Symphyotrichum ciliatum,species,,yes,,,,1,figshare_tsw_counts
Syringa vulgaris,species,lilac,yes,,,,1,wpsm_woody_counts
Tagetes erecta,species,,yes,,,,1,figshare_tsw_counts
Tagetes lucida,species,mexican mint marigold,,yes,,,1,johnnys_longevity
Tagetes patula,species,,yes,,,,1,figshare_tsw_counts
Taraxacum besarabicum,species,,yes,,,,1,figshare_tsw_counts
Taxus baccata,species,yew,yes,,,,1,wpsm_woody_counts
Taxus brevifolia,species,yew,yes,,,,1,wpsm_woody_counts
Taxus canadensis,species,yew,yes,,,,1,wpsm_woody_counts
Taxus cuspidata,species,yew,yes,,,,1,wpsm_woody_counts
Tephroseris integrifolia,species,,yes,,,,1,figshare_tsw_counts
Terminalia brassii,species,terb,,,yes,,2,dickie_ellis_constants_with_se; kew_viability_constants
Tetragonia tetragonioides,species,new zealand spinach,yes,yes,,yes,2,unl_g2090_counts; unl_g2090_germination
Thladiantha dubia,species,,yes,,,,1,figshare_tsw_counts
Thyme,genus,thyme,,yes,,,1,johnnys_longevity
Thymus serpyllum,species,,yes,,,,1,figshare_tsw_counts
Thymus vulgaris,species,,yes,,,,1,figshare_tsw_counts
Tilia americana,species,linden,yes,,,,1,wpsm_woody_counts
Tilia cordata,species,linden,yes,,,,1,wpsm_woody_counts
Tilia platyphyllos,species,linden,yes,,,,1,wpsm_woody_counts
Tilia tomentosa,species,linden,yes,,,,1,wpsm_woody_counts
Tomatillo,genus,tomatillo,,yes,,,1,osborne_viability
Tradescantia virginiana,species,,yes,,,,1,figshare_tsw_counts
Tragopogon porrifolius,species,oyster plant; salsify,yes,yes,,yes,4,figshare_tsw_counts; johnnys_longevity; unl_g2090_counts; unl_g2090_germination
Trichloris crinita,species,"trichloris, twoflower",yes,,,,1,nrcs_conservation_counts
Trichloris pluriflora,species,"trichloris, fourflower",yes,,,,1,nrcs_conservation_counts
Tridens albescens,species,tridens white,yes,,,,1,nrcs_conservation_counts
Tridens elongatus,species,"tridens, rough",yes,,,,1,nrcs_conservation_counts
Tridens flavus,species,"tridens, purpletop",yes,,,,1,nrcs_conservation_counts
Tridens strictus,species,"tridens, longspike",yes,,,,1,nrcs_conservation_counts
Tridens texanus,species,"tridens, texas",yes,,,,1,nrcs_conservation_counts
Trifolium incarnatum,species,"clover crimson; clover, crimson",yes,yes,,,2,figshare_tsw_counts; johnnys_longevity
Trifolium lappaceum,species,,yes,,,,1,figshare_tsw_counts
Trifolium repens,species,"clover white; clover, white; dutch clover",,yes,,,1,johnnys_longevity
Trifolium resupinatum,species,,yes,,,,1,figshare_tsw_counts
Trifolium subterraneum,species,clover subterranean,,,yes,,1,kew_viability_constants
Tripsacum dactyloides,species,"gamagrass, eastern",yes,,,,1,nrcs_conservation_counts
Triticum aestivum,species,"bread wheat; common wheat; wheat; wheat, common",yes,yes,yes,,3,figshare_tsw_counts; johnnys_longevity; kew_viability_constants
Tsuga canadensis,species,hemlock,yes,,,,1,wpsm_woody_counts
Tsuga caroliniana,species,hemlock,yes,,,,1,wpsm_woody_counts
Tsuga heterophylla,species,hemlock,yes,,,,1,wpsm_woody_counts
Tsuga mertensiana,species,hemlock,yes,,,,1,wpsm_woody_counts
Typha minima,species,,yes,,,,1,figshare_tsw_counts
Ulmus alata,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus americana,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus carpinifolia,species,elm,,,yes,,2,dickie_ellis_constants_with_se; kew_viability_constants
Ulmus crassifolia,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus glabra,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus japonica,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus laevis,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus parvifolia,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus pumila,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus rubra,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus serotina,species,elm,yes,,,,1,wpsm_woody_counts
Ulmus thomasii,species,elm,yes,,,,1,wpsm_woody_counts
Uniola latifolia,species,"uniola, broadleaf",yes,,,,1,nrcs_conservation_counts
Vaccaria hispanica,species,,yes,,,,1,figshare_tsw_counts
Valerian,genus,valerian,,yes,,,1,johnnys_longevity
Vaseyochloa multinervosa,species,texasgrass,yes,,,,1,nrcs_conservation_counts
Verbascum nigrum,species,,yes,,,,1,figshare_tsw_counts
Verbena,genus,verbena,,yes,,,1,johnnys_longevity
Veronica agrestis,species,,yes,,,,1,figshare_tsw_counts
Veronica beccabunga,species,,yes,,,,1,figshare_tsw_counts
Veronica peregrina,species,,yes,,,,1,figshare_tsw_counts
Viburnum acerifolium,species,,yes,,,,1,wpsm_woody_counts
Viburnum dentatum,species,,yes,,,,1,wpsm_woody_counts
Viburnum lantana,species,,yes,,,,1,wpsm_woody_counts
Viburnum lantanoides,species,,yes,,,,1,wpsm_woody_counts
Viburnum lentago,species,,yes,,,,1,wpsm_woody_counts
Viburnum nudum,species,,yes,,,,1,wpsm_woody_counts
Viburnum opulus,species,,yes,,,,1,wpsm_woody_counts
Viburnum prunifolium,species,,yes,,,,1,wpsm_woody_counts
Viburnum rufidulum,species,,yes,,,,1,wpsm_woody_counts
Vicia dumetorum,species,,yes,,,,1,figshare_tsw_counts
Vicia ervilia,species,,yes,,,,1,figshare_tsw_counts
Vicia faba,species,,yes,,,,1,figshare_tsw_counts
Vicia lutea,species,,yes,,,,1,figshare_tsw_counts
Vicia oroboides,species,,yes,,,,1,figshare_tsw_counts
Vicia sativa,species,"vetch common; vetch, common",,yes,,,1,johnnys_longevity
Vicia sparsiflora,species,,yes,,,,1,figshare_tsw_counts
Vicia villosa,species,"vetch hairy; vetch, hairy",yes,yes,,,2,johnnys_longevity; nrcs_conservation_counts
Vigna radiata,species,green gram; mung bean,,,yes,,1,kew_viability_constants
Vigna unguiculata,species,black-eyed pea; cowpea; southern pea,,yes,yes,,3,dickie_ellis_constants_with_se; johnnys_longevity; kew_viability_constants
Vincetoxicum hirundinaria,species,,yes,,,,1,figshare_tsw_counts
Viola,genus,viola (pansy),,yes,,,1,johnnys_longevity
Viola prionantha,species,,yes,,,,1,figshare_tsw_counts
Viola tricolor,species,,yes,,,,1,figshare_tsw_counts
Vitex agnus-castus,species,,yes,,,,1,wpsm_woody_counts
Xanthium orientale,species,,yes,,,,1,figshare_tsw_counts
Xanthium strumarium,species,,yes,,,,1,figshare_tsw_counts
Yarrow,genus,yarrow,,yes,,,1,johnnys_longevity
Zannichellia palustris,species,,yes,,,,1,figshare_tsw_counts
Zanthoxylum americanum,species,prickly-ash,yes,,,,1,wpsm_woody_counts
Zanthoxylum clava-herculis,species,prickly-ash,yes,,,,1,wpsm_woody_counts
Zanthoxylum martinicense,species,prickly-ash,yes,,,,1,wpsm_woody_counts
Zea mays,species,"corn sweet; corn, sweet; maize; sweet corn",yes,yes,yes,yes,5,figshare_tsw_counts; johnnys_longevity; kew_viability_constants; unl_g2090_counts; unl_g2090_germination
Zinnia,genus,zinnia,,yes,,,1,johnnys_longevity
Zinnia elegans,species,,yes,,,,1,figshare_tsw_counts
Zuckia brandegei,species,,yes,,,,1,wpsm_woody_counts
