scientific_name,rank,common_names,has_seed_count,has_longevity,has_viability_constants,has_germination_conditions,dataset_count,datasets
Persicaria orientalis,species,,yes,,,,1,figshare_tsw_counts
Petalostemon multiflorus,species,"prairieclover, roundheaded",yes,,,,1,nrcs_conservation_counts
Petalostemon purpureus,species,"prairieclover, purple",yes,,,,1,nrcs_conservation_counts
Petasites hybridus,species,,yes,,,,1,figshare_tsw_counts
Petroselinum crispum,species,parsley,yes,yes,,yes,6,figshare_tsw_counts; johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Phaseolus coccineus,species,,yes,,,,1,figshare_tsw_counts
Phaseolus lunatus,species,"bean lima; bean, lima; butter bean",yes,yes,,yes,2,unl_g2090_counts; unl_g2090_germination
Phaseolus vulgaris,species,"bean snap; bean, snap; beans; common bean; dry bean; green bean; string bean",yes,yes,yes,yes,7,figshare_tsw_counts; johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Phleum pratense,species,timothy,,,yes,,1,kew_viability_constants
Phleum pratense cv.,species,,,,yes,,1,kew_viability_constants
Phlox,genus,phlox,,yes,,,1,johnnys_longevity
Picea abies,species,spruce,yes,,,,1,wpsm_woody_counts
Picea asperata,species,spruce,yes,,,,1,wpsm_woody_counts
Picea breweriana,species,spruce,yes,,,,1,wpsm_woody_counts
Picea engelmannii,species,spruce,yes,,,,1,wpsm_woody_counts
Picea glauca,species,spruce,yes,,,,1,wpsm_woody_counts
Picea jezoensis,species,spruce,yes,,,,1,wpsm_woody_counts
Picea koraiensis,species,spruce,yes,,,,1,wpsm_woody_counts
Picea mariana,species,spruce,yes,,,,1,wpsm_woody_counts
Picea omorika,species,spruce,yes,,,,1,wpsm_woody_counts
Picea pungens,species,spruce,yes,,,,1,wpsm_woody_counts
Picea rubens,species,spruce,yes,,,,1,wpsm_woody_counts
Picea sitchensis,species,spruce,yes,,,,1,wpsm_woody_counts
Picea smithiana,species,spruce,yes,,,,1,wpsm_woody_counts
Pilosella piloselloides,species,,yes,,,,1,figshare_tsw_counts
Pinus albicaulis,species,pine,yes,,,,1,wpsm_woody_counts
Pinus aristata,species,pine,yes,,,,1,wpsm_woody_counts
Pinus arizonica,species,pine,yes,,,,1,wpsm_woody_counts
Pinus armandii,species,pine,yes,,,,1,wpsm_woody_counts
Pinus balfouriana,species,pine,yes,,,,1,wpsm_woody_counts
Pinus banksiana,species,pine,yes,,,,1,wpsm_woody_counts
Pinus brutia,species,pine,yes,,,,1,wpsm_woody_counts
Pinus canariensis,species,pine,yes,,,,1,wpsm_woody_counts
Pinus caribaea,species,pine,yes,,,,1,wpsm_woody_counts
Pinus cembra,species,pine,yes,,,,1,wpsm_woody_counts
Pinus cembroides,species,pine,yes,,,,1,wpsm_woody_counts
Pinus clausa,species,pine,yes,,,,1,wpsm_woody_counts
Pinus contorta,species,pine,yes,,,,1,wpsm_woody_counts
Pinus coulteri,species,pine,yes,,,,1,wpsm_woody_counts
Pinus densiflora,species,pine,yes,,,,1,wpsm_woody_counts
Pinus echinata,species,pine,yes,,,,1,wpsm_woody_counts
Pinus edulis,species,pine,yes,,,,1,wpsm_woody_counts
Pinus elliottii,species,pine,yes,,yes,,2,kew_viability_constants; wpsm_woody_counts
Pinus engelmanni,species,pine,yes,,,,1,wpsm_woody_counts
Pinus flexilis,species,pine,yes,,,,1,wpsm_woody_counts
Pinus gerardiana,species,pine,yes,,,,1,wpsm_woody_counts
Pinus glabra,species,pine,yes,,,,1,wpsm_woody_counts
Pinus halepensis,species,pine,yes,,,,1,wpsm_woody_counts
Pinus heldreichii,species,pine,yes,,,,1,wpsm_woody_counts
Pinus jeffreyi,species,pine,yes,,,,1,wpsm_woody_counts
Pinus keisya,species,pine,yes,,,,1,wpsm_woody_counts
Pinus koraiensis,species,pine,yes,,,,1,wpsm_woody_counts
Pinus lambertiana,species,pine,yes,,,,1,wpsm_woody_counts
Pinus leiophylla,species,pine,yes,,,,1,wpsm_woody_counts
Pinus merkussi,species,pine,yes,,,,1,wpsm_woody_counts
Pinus monophylla,species,pine,yes,,,,1,wpsm_woody_counts
Pinus monticola,species,pine,yes,,,,1,wpsm_woody_counts
Pinus mugo,species,pine,yes,,,,1,wpsm_woody_counts
Pinus muricata,species,pine,yes,,,,1,wpsm_woody_counts
Pinus nigra,species,pine,yes,,,,1,wpsm_woody_counts
Pinus occidentalis,species,,,,yes,,1,kew_viability_constants
Pinus palustris,species,pine,yes,,,,1,wpsm_woody_counts
Pinus parviflora,species,pine,yes,,,,1,wpsm_woody_counts
Pinus peuce,species,pine,yes,,,,1,wpsm_woody_counts
Pinus pinaster,species,pine,yes,,,,1,wpsm_woody_counts
Pinus pinea,species,pine,yes,,,,1,wpsm_woody_counts
Pinus pumila,species,pine,yes,,,,1,wpsm_woody_counts
Pinus pungens,species,pine,yes,,,,1,wpsm_woody_counts
Pinus radiata,species,pine,yes,,,,1,wpsm_woody_counts
Pinus resinosa,species,pine,yes,,,,1,wpsm_woody_counts
Pinus sabiniana,species,pine,yes,,,,1,wpsm_woody_counts
Pinus serotina,species,pine,yes,,,,1,wpsm_woody_counts
Pinus sibirica,species,pine,yes,,,,1,wpsm_woody_counts
Pinus strobiformis,species,pine,yes,,,,1,wpsm_woody_counts
Pinus strobus,species,pine,yes,,,,1,wpsm_woody_counts
Pinus sylvestris,species,pine,yes,,,,1,wpsm_woody_counts
Pinus taeda,species,pine,yes,,yes,,2,kew_viability_constants; wpsm_woody_counts
Pinus thunbergiana,species,pine,yes,,,,1,wpsm_woody_counts
Pinus virginiana,species,pine,yes,,,,1,wpsm_woody_counts
Pinus wallichiana,species,pine,yes,,,,1,wpsm_woody_counts
Pisum sativum,species,english pea; garden pea; pea; peas,yes,yes,yes,yes,6,johnnys_longevity; kew_viability_constants; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Plantago argentea,species,,yes,,,,1,figshare_tsw_counts
Plantago coronopus,species,,yes,,,,1,figshare_tsw_counts
Plantago lanceolata,species,,yes,,,,1,figshare_tsw_counts
Platanus occidentalis,species,sycamore,yes,,,,1,wpsm_woody_counts
Platanus orientalis,species,sycamore,yes,,,,1,wpsm_woody_counts
Poa archnifera,species,"bluegrass, texas",yes,,,,1,nrcs_conservation_counts
Poa pratensis,species,,yes,,,,1,figshare_tsw_counts
Polemonium reptans,species,,yes,,,,1,figshare_tsw_counts
Polycarpon tetraphyllum,species,,yes,,,,1,figshare_tsw_counts
Poppy,genus,poppy,,yes,,,1,johnnys_longevity
Potamogeton coloratus,species,,yes,,,,1,figshare_tsw_counts
Potamogeton lucens,species,,yes,,,,1,figshare_tsw_counts
Potamogeton natans,species,,yes,,,,1,figshare_tsw_counts
Potentilla pusilla,species,,yes,,,,1,figshare_tsw_counts
Prosopis juliflora,species,mesquite,yes,,,,1,wpsm_woody_counts
Prunella grandiflora,species,,yes,,,,1,figshare_tsw_counts
Prunus americana,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus angustifolia,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus cerasifera,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus cerasus,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus domestica,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus emarginata,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus fruticosa,species,,yes,,,,1,figshare_tsw_counts
Prunus ilicifolia,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus mahaleb,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus munsoniana,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus padus,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus pensylvanica,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus spinosa,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus subcordata,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus tomentosa,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Prunus virginiana,species,and plum; cherry; peach,yes,,,,1,wpsm_woody_counts
Pseudotsuga macrocarpa,species,,yes,,,,1,wpsm_woody_counts
Pseudotsuga menziesii,species,,yes,,,,1,wpsm_woody_counts
Psophocarpus tetragonolobus,species,goa bean; winged bean,,,yes,,1,kew_viability_constants
Psorothamnus emoryi,species,indigobush,yes,,,,1,wpsm_woody_counts
Psorothamnus polydenius,species,indigobush,yes,,,,1,wpsm_woody_counts
Psorothamnus spinosus,species,indigobush,yes,,,,1,wpsm_woody_counts
Pulsatilla alpina,species,,yes,,,,1,figshare_tsw_counts
Pumpkins,genus,pumpkins,,yes,,,2,johnnys_longevity; osborne_viability
Purshia glandulosa,species,bitterbrush; bitterbrush and cliffrose; cliffrose,yes,,,,1,wpsm_woody_counts
Purshia mexicana,species,bitterbrush; bitterbrush and cliffrose; cliffrose,yes,,,,1,wpsm_woody_counts
Purshia tridentata,species,bitterbrush; bitterbrush and cliffrose; cliffrose,yes,,,,1,wpsm_woody_counts
Purslane,genus,purslane,,yes,,,1,johnnys_longevity
Pycnanthemum pilosum,species,mountain mint,,yes,,,1,johnnys_longevity
Pyrus amygdaliforms,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus betulifolia,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus calleryana,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus communis,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus cordata,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus dimorphophylla,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus elaeagrifolia,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus fauriei,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus gharbiana,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus koehnii,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus mamorensis,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus nivalis,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus pashia,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus pyrifolia,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus salicifolia,species,pear,yes,,,,1,wpsm_woody_counts
Pyrus ussuriensis,species,pear,yes,,,,1,wpsm_woody_counts
Quercus acutissima,species,oak,yes,,,,1,wpsm_woody_counts
Quercus bicolor,species,oak,yes,,,,1,wpsm_woody_counts
Quercus cerris,species,oak,yes,,,,1,wpsm_woody_counts
Quercus coccinea,species,oak,yes,,,,1,wpsm_woody_counts
Quercus douglasii,species,oak,yes,,,,1,wpsm_woody_counts
Quercus dumosa,species,oak,yes,,,,1,wpsm_woody_counts
Quercus ellipsoidalis,species,oak,yes,,,,1,wpsm_woody_counts
Quercus falcata,species,oak,yes,,,,1,wpsm_woody_counts
Quercus ilicifolia,species,oak,yes,,,,1,wpsm_woody_counts
Quercus imbricaria,species,oak,yes,,,,1,wpsm_woody_counts
Quercus incana,species,oak,yes,,,,1,wpsm_woody_counts
Quercus kelloggii,species,oak,yes,,,,1,wpsm_woody_counts
Quercus laevis,species,oak,yes,,,,1,wpsm_woody_counts
Quercus laurifolia,species,oak,yes,,,,1,wpsm_woody_counts
Quercus lobata,species,oak,yes,,,,1,wpsm_woody_counts
Quercus lyrata,species,oak,yes,,,,1,wpsm_woody_counts
Quercus muehlenbergii,species,oak,yes,,,,1,wpsm_woody_counts
Quercus nigra,species,oak,yes,,,,1,wpsm_woody_counts
Quercus pagoda,species,oak,yes,,,,1,wpsm_woody_counts
Quercus palustris,species,oak,yes,,,,1,wpsm_woody_counts
Quercus petraea,species,oak,yes,,,,1,wpsm_woody_counts
Quercus phellos,species,oak,yes,,,,1,wpsm_woody_counts
Quercus prinus,species,oak,yes,,,,1,wpsm_woody_counts
Quercus pubescens,species,,yes,,,,1,figshare_tsw_counts
Quercus robur,species,oak,yes,,,,1,wpsm_woody_counts
Quercus rubra,species,oak,yes,,,,1,wpsm_woody_counts
Quercus shumardii,species,oak,yes,,,,1,wpsm_woody_counts
Quercus stellata,species,oak,yes,,,,1,wpsm_woody_counts
Quercus texana,species,oak,yes,,,,1,wpsm_woody_counts
Quercus turbinella,species,oak,yes,,,,1,wpsm_woody_counts
Quercus vaccinifolia,species,oak,yes,,,,1,wpsm_woody_counts
Quercus variabilis,species,oak,yes,,,,1,wpsm_woody_counts
Quercus velutina,species,oak,yes,,,,1,wpsm_woody_counts
Quercus virginiana,species,oak,yes,,,,1,wpsm_woody_counts
Quercus wislizenii,species,oak,yes,,,,1,wpsm_woody_counts
Radicchio,genus,radicchio,yes,,,,1,osborne_counts
Radiola linoides,species,,yes,,,,1,figshare_tsw_counts
Ranunculus peltatus,species,,yes,,,,1,figshare_tsw_counts
Ranunculus rionii,species,,yes,,,,1,figshare_tsw_counts
Ranunculus sceleratus,species,,,,yes,,1,kew_viability_constants
Raphanus raphanistrum,species,,yes,,,,1,figshare_tsw_counts
Raphanus sativus,species,radish,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Reynoutria japonica,species,,yes,,,,1,figshare_tsw_counts
Rheum rhabarbarum,species,rhubarb,,yes,,,1,johnnys_longevity
Rhus copallina,species,,yes,,,,1,wpsm_woody_counts
Rhus glabra,species,,yes,,,,1,wpsm_woody_counts
Rhus hirta,species,,yes,,,,1,wpsm_woody_counts
Rhus integrifolia,species,,yes,,,,1,wpsm_woody_counts
Rhus ovata,species,,yes,,,,1,wpsm_woody_counts
Rhus trilobata,species,,yes,,,,1,wpsm_woody_counts
Ribes americanum,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes aureum,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes cereum,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes cynosbati,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes hudsonianum,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
Ribes inerme,species,currant; gooseberry,yes,,,,1,wpsm_woody_counts
