family,species,KE,CW,CH,CQ,reference,notes,years_minus20c_5pct,years_15c_15rh
Leguminosae,Trifolium subterraneum,7.21,3.51,0.04,0.0004,"RBG Kew, unpublished limited data",Derived from,682,
Leguminosae,Vigna radiata,10.858,6.27,0.0329,0.000478,"(Ellis et al., 1989) only 1 temp.",Storage expt. at,23960,
Leguminosae,Vigna unguiculata,9.401,5.118,0.0329,0.000478,"(Ellis et al., 1982), (Dickie et al., 1990)",,5342,1687
Leguminosae,Vigna unguiculata,9.102,4.967,0.0295,0.000491,"(Ellis, 1988)",,2891,1042
Linaceae,Linum usitatissimum,7.76,4.86,0.0329,0.000478,"(Ellis et al., 1988) only 1 temp.",Storage expt. at,185,509
Meliaceae,Entandophragma angolense,4.6,2.21,0.033,0.000478,"(Tompsett, 1992) limited data",Derived from,9,
Meliaceae,Khaya senegalensis,4.76,2.15,0.033,0.000478,"(Tompsett, 1992) limited data",Derived from,15,
Meliaceae,Swietinia humilis,5.393,2.391,0.0329,0.000478,"(P.B. Tompsett, unpubl.), (Dickie et al., 1990)",,42,314
Papaveraceae,Papaver nudicaule,6.838,4.101,0.027,0.000313,"(Belletti et al., 1991)",,67,
Pedaliaceae,Sesamum indicum,7.19,4.02,0.04,0.000428,"(Ellis et al., 1986) only 1 temp.",Storage expt. at,279,1332
Pinaceae,Pinus elliottii,5.587688,1.449494,0.0326,0.00101,"(Bonner, 1994) years storage",Data based on 5,182,
Pinaceae,Pinus elliottii,5.246319,0.983174,0.0508,0.000571,"(Bonner, 1994) 10 years storage",Data based on,608,
Pinaceae,Pinus occidentalis,5.047441,1.677614,0.0206,0.00126,"(Bonner, 1994) years storage",Data based on 5,17,
Pinaceae,Pinus occidentalis,5.101286,1.674234,0.0354,0.000838,"(Bonner, 1994) 10 years storage",Data based on,55,
Pinaceae,Pinus taeda,3.618404,,,,-0.256684 years storage,"(Bonner, 1994) (4) Data based on 5",0.00064,0.00122
Pinaceae,Pinus taeda,3.278271,,,,-0.729973 10 years storage,"(Bonner, 1994) (4) Data based on",0.0348,0.00032
Ranunculaceae,Delphinium ambiguum,7.67,3.12,0.04,0.0004,"RBG Kew, unpublished limited data",Derived from,3685,
Ranunculaceae,Ranunculus sceleratus,6.98,5.01,0.0329,0.000428,"R.J. Probert, RBG Kew, unpublished only 1 temp.",Storage expt. at 41(3),24,
Rosaceae,Malus domestica,7.316,4.119,0.04,0.000428,"(Dickie, 1988) Hordeum",CW and CQ from,318,
Scrophulariaceae,Digitalis purpurea,7.49,5.61,0.0329,0.000478,"F.R. Hay, RBG Kew, unpublished only 1 temp.",Storage expt. at 258(3),30,
Ulmaceae,Ulmus carpinifolia,5.83,3.035,0.0329,0.000478,"(Tompsett, 1986b), (Dickie et al., 1990)",,41,32
