species,common_name,family,seed_survival_curves,KE,KE_se,CW,CW_se,KE_exp,KE_exp_se,CW_exp,CW_exp_se,mean_seed_weight_mg,typical_oil_content_pct_dwt,seed_type,life_form,primary_source,notes
Cicer arietinum,chickpea,Leguminosae,65,8.901,0.158,4.847,0.124,12.039,0.315,4.789,0.127,300-500,5,Non-endospermic,Tropical annual grain,Ellis et al. 1982,
Glycine max,soya bean,Leguminosae,58,7.525,0.155,4.086,0.130,10.676,0.309,4.035,0.133,100-670,18,Non-endospermic,Annual grain,Ellis et al. 1982,
Hordeum vulgare,barley,Gramineae,50,9.144,0.271,5.342,0.221,12.425,0.348,5.390,0.230,25-58,2,Endospermic,Temperate annual grain,Ellis & Roberts 1980b,"Cross-validated: Hay worked example reproduces sigma = 244961 d at 6.17% MC and -20 C exactly."
Lactuca sativa,lettuce,Compositae,39,6.895,0.169,4.200,0.170,10.173,0.323,4.177,0.175,0.6-1.3,35,Endospermic,Temperate annual herb,Kraak & Vos 1987,"KE corrected to 6.895. The Dickie & Ellis 1990 scan OCRs as 6-985 but Hay's worked examples reproduce 56040 d and 12404 d only with 6.895; the same scan also renders sativa as saliva."
Swietenia humilis,mahogany,Meliaceae,27,5.393,0.123,2.391,0.123,8.568,0.302,2.346,0.127,125-400,67,Non-endospermic,Tropical tree,Tompsett unpubl.,Oil content is for the embryo.
Terminalia brassii,terb,Combretaceae,46,5.016,0.196,2.161,0.205,8.281,0.340,2.209,0.211,<10,71,Non-endospermic,Tropical tree,Tompsett 1986,Oil content is for the embryo.
Ulmus carpinifolia,elm,Ulmaceae,24,5.830,0.166,3.035,0.152,9.046,0.320,3.061,0.156,<10,14,Non-endospermic,Temperate tree,Tompsett 1986,
Vigna unguiculata,cowpea,Leguminosae,50,9.401,0.177,5.118,0.142,12.524,0.329,5.042,0.146,100-120,2,Non-endospermic,Tropical annual grain,Ellis et al. 1982,
